Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,AccountAge
$0.69 ,"$18,000 ",0,34,0,0,0,0,1,0,1,1,4
$2.69 ,"$59,140 ",0,28,1,0,1,0,1,0,1,1,5
$0.15 ,$3 ,0,30,1,0,1,0,0,1,1,0,5
$1.97 ,"$1,126 ",0,29,1,0,0,1,0,0,1,0,4
$0.74 ,"$1,718 ",0,38,1,1,0,1,1,1,0,1,9
$2.76 ,"$29,902 ",0,44,0,0,0,0,1,0,1,1,3
$1.16 ,"$26,044 ",0,42,0,0,0,0,1,0,1,1,4
$3.82 ,"$2,368 ",0,37,1,0,0,1,0,1,1,0,8
$0.55 ,$30 ,0,40,1,0,1,0,0,1,1,0,4
$1.67 ,$272 ,0,44,1,0,1,0,0,1,0,0,8
$2.11 ,"$34,640 ",0,50,1,0,1,0,1,0,0,1,8
$2.43 ,"$55,196 ",0,50,1,0,0,0,1,1,1,1,8
$1.66 ,$141 ,0,46,1,0,1,0,0,1,1,0,4
$1.47 ,"$7,500 ",0,46,1,0,0,0,1,0,0,1,5
$3.25 ,"$47,000 ",1,30,1,0,0,0,1,0,1,1,6
$1.00 ,"$25,000 ",0,26,0,0,0,0,1,0,1,1,3
$0.07 ,$3 ,0,29,0,0,0,0,0,1,1,0,3
$0.18 ,$111 ,0,40,1,0,0,0,0,1,1,0,4
$1.04 ,"$61,750 ",0,40,1,0,0,0,1,0,0,1,4
$0.20 ,$59 ,0,46,1,0,1,0,0,1,1,0,0
$1.04 ,"$3,045 ",0,24,1,0,0,1,1,0,1,0,3
$0.11 ,$4 ,0,35,1,0,0,0,0,1,1,0,2
$0.75 ,$20 ,0,31,0,0,0,0,0,1,1,0,3
$2.33 ,"$37,037 ",0,36,1,0,0,0,1,0,0,1,8
$0.51 ,$21 ,0,59,1,0,1,0,0,1,0,0,10
$1.13 ,$74 ,0,34,1,0,1,0,0,1,1,0,1
$5.21 ,"$64,206 ",0,33,0,0,0,0,1,0,1,1,7
$0.96 ,$144 ,0,33,1,0,0,0,0,1,0,0,0
$0.38 ,"$8,900 ",0,32,1,0,0,0,1,0,1,1,6
$2.16 ,"$3,043 ",0,31,1,0,0,1,0,1,1,0,7
$4.67 ,"$40,995 ",0,45,0,0,0,0,1,0,0,1,4
$1.12 ,"$16,500 ",0,37,1,0,0,0,1,0,0,1,6
$1.08 ,$186 ,0,40,1,0,0,0,0,1,0,0,0
$0.12 ,$4 ,1,43,1,0,0,0,0,1,1,0,6
$1.38 ,"$78,761 ",0,40,1,0,0,0,1,0,1,1,8
$0.60 ,"$1,578 ",0,38,1,0,1,1,0,1,1,0,10
$0.10 ,$6 ,1,44,1,0,0,0,0,1,1,0,1
$2.41 ,"$37,610 ",0,42,1,0,1,0,1,0,0,1,7
$0.17 ,$45 ,0,44,1,0,0,0,0,1,1,0,3
$4.62 ,"$67,476 ",1,47,1,0,0,0,1,1,1,1,5
$1.33 ,"$25,427 ",0,64,1,0,0,0,1,1,1,1,6
$1.19 ,"$30,082 ",0,54,0,0,0,0,1,1,1,1,5
$1.54 ,$558 ,0,32,1,0,0,1,0,0,1,0,2
$0.97 ,"$46,950 ",0,32,1,0,0,0,1,0,1,1,8
$1.28 ,"$38,000 ",0,26,1,0,0,0,1,0,1,1,3
$2.55 ,"$95,000 ",0,39,0,0,0,0,1,0,1,1,5
$0.37 ,$150 ,0,43,0,0,1,0,0,1,1,0,2
$0.48 ,"$6,500 ",0,36,0,0,0,0,1,0,0,1,4
$0.64 ,$507 ,0,36,1,0,1,1,0,1,0,0,6
$0.48 ,$647 ,0,41,1,0,1,1,0,1,1,0,4
$1.10 ,"$13,475 ",0,42,1,0,0,0,1,0,1,1,7
$0.94 ,"$8,100 ",0,37,1,0,0,0,1,0,0,1,0
$7.27 ,"$2,320 ",0,41,0,0,0,1,0,0,1,0,4
$3.39 ,"$7,074 ",1,53,1,0,0,1,0,1,0,0,4
$3.09 ,"$1,128 ",0,56,1,0,0,1,0,0,1,0,9
$0.90 ,"$2,287 ",0,60,0,1,0,0,0,1,1,1,11
$1.97 ,"$21,177 ",0,58,1,0,0,0,1,1,1,1,6
$2.38 ,"$28,000 ",0,56,1,0,0,0,1,0,1,1,4
$3.88 ,"$35,000 ",0,49,0,0,0,0,1,0,1,1,8
$1.13 ,"$37,040 ",0,46,1,0,0,0,1,0,1,1,5
$1.26 ,"$6,000 ",0,62,1,0,0,1,0,0,1,0,6
$1.94 ,"$31,390 ",0,33,1,0,1,0,1,0,1,1,2
$0.06 ,$5 ,0,35,1,0,0,0,0,1,0,0,5
$0.33 ,$83 ,0,30,1,0,0,0,0,1,0,0,0
$3.33 ,"$17,182 ",1,35,0,0,0,1,1,0,0,1,8
$3.22 ,"$2,305 ",0,29,1,0,1,1,0,1,1,0,5
$2.28 ,"$3,205 ",0,31,1,0,0,1,0,1,1,0,6
$1.56 ,"$37,500 ",0,44,0,0,0,0,1,0,0,1,5
$6.84 ,"$65,071 ",0,36,1,0,0,0,1,1,1,1,0
$2.38 ,$93 ,0,38,0,0,1,0,0,1,0,0,0
$4.17 ,"$5,476 ",0,42,1,0,0,1,0,0,1,0,4
$0.93 ,$955 ,0,43,1,1,0,1,1,0,1,1,9
$0.74 ,"$32,000 ",0,41,0,0,0,0,1,0,0,1,4
$15.02 ,"$2,559 ",0,42,1,0,0,1,0,1,1,0,5
$5.95 ,"$1,690 ",0,43,1,0,0,1,0,0,1,0,2
$0.33 ,"$12,459 ",0,60,0,0,0,0,1,1,1,1,5
$1.53 ,"$2,920 ",0,49,1,0,1,1,0,0,1,0,9
$14.54 ,"$10,100 ",0,51,0,0,1,0,0,1,0,0,3
$1.27 ,"$5,000 ",0,63,1,0,1,0,1,0,1,1,3
$1.21 ,$201 ,0,61,1,0,0,0,0,1,1,0,8
$0.67 ,"$31,100 ",0,35,1,0,0,0,1,0,1,1,8
$6.11 ,"$2,319 ",0,37,1,0,0,1,1,0,1,0,1
$0.11 ,$3 ,0,37,0,0,0,0,0,1,0,0,2
$0.89 ,$100 ,0,43,0,0,1,0,0,1,1,0,1
$4.64 ,"$3,760 ",0,48,1,0,0,1,0,0,0,0,4
$1.26 ,"$2,784 ",0,53,1,0,0,1,0,1,1,0,4
$2.35 ,$50 ,0,46,1,0,0,0,0,1,0,0,0
$3.09 ,"$3,519 ",0,34,1,0,0,1,0,0,1,0,3
$0.95 ,"$7,386 ",0,28,1,0,1,1,0,0,1,0,4
$12.99 ,"$11,035 ",0,45,1,1,0,1,1,1,1,1,6
$0.70 ,"$3,000 ",0,46,1,0,0,1,0,0,1,0,7
$1.95 ,"$5,227 ",0,30,1,0,1,1,0,1,0,0,2
$1.70 ,"$3,524 ",0,33,1,0,0,1,1,1,0,0,6
$1.31 ,"$6,309 ",0,33,1,0,0,0,0,1,1,0,3
$0.52 ,"$18,000 ",0,37,1,0,0,0,1,0,1,1,0
$5.58 ,"$6,685 ",0,43,0,0,0,0,0,1,1,0,7
$2.41 ,"$2,240 ",0,37,1,0,0,1,0,0,0,0,3
$0.19 ,$43 ,0,40,0,0,0,0,0,1,1,0,1
$0.84 ,$124 ,0,41,0,0,1,0,0,1,1,0,0
